👋,waving hand hello slap,👋🏻,👋🏻,👋🏼,👋🏻,👋🏼,👋🏽,👋🏻,👋🏼,👋🏽,👋🏾,👋🏻,👋🏼,👋🏽,👋🏾,👋🏿
🤚,raised back of hand,🤚🏻,🤚🏻,🤚🏼,🤚🏻,🤚🏼,🤚🏽,🤚🏻,🤚🏼,🤚🏽,🤚🏾,🤚🏻,🤚🏼,🤚🏽,🤚🏾,🤚🏿
🖐️,hand with fingers splayed,🖐🏻,🖐🏻,🖐🏼,🖐🏻,🖐🏼,🖐🏽,🖐🏻,🖐🏼,🖐🏽,🖐🏾,🖐🏻,🖐🏼,🖐🏽,🖐🏾,🖐🏿
✋,raised hand,✋🏻,✋🏻,✋🏼,✋🏻,✋🏼,✋🏽,✋🏻,✋🏼,✋🏽,✋🏾,✋🏻,✋🏼,✋🏽,✋🏾,✋🏿
🖖,vulcan salute,🖖🏻,🖖🏻,🖖🏼,🖖🏻,🖖🏼,🖖🏽,🖖🏻,🖖🏼,🖖🏽,🖖🏾,🖖🏻,🖖🏼,🖖🏽,🖖🏾,🖖🏿
🫱,rightwards hand,🫱🏻,🫱🏻,🫱🏼,🫱🏻,🫱🏼,🫱🏽,🫱🏻,🫱🏼,🫱🏽,🫱🏾,🫱🏻,🫱🏼,🫱🏽,🫱🏾,🫱🏿
🫲,leftwards hand,🫲🏻,🫲🏻,🫲🏼,🫲🏻,🫲🏼,🫲🏽,🫲🏻,🫲🏼,🫲🏽,🫲🏾,🫲🏻,🫲🏼,🫲🏽,🫲🏾,🫲🏿
🫳,palm down hand,🫳🏻,🫳🏻,🫳🏼,🫳🏻,🫳🏼,🫳🏽,🫳🏻,🫳🏼,🫳🏽,🫳🏾,🫳🏻,🫳🏼,🫳🏽,🫳🏾,🫳🏿
🫴,palm up hand,🫴🏻,🫴🏻,🫴🏼,🫴🏻,🫴🏼,🫴🏽,🫴🏻,🫴🏼,🫴🏽,🫴🏾,🫴🏻,🫴🏼,🫴🏽,🫴🏾,🫴🏿
🫷,leftwards pushing hand,🫷🏻,🫷🏻,🫷🏼,🫷🏻,🫷🏼,🫷🏽,🫷🏻,🫷🏼,🫷🏽,🫷🏾,🫷🏻,🫷🏼,🫷🏽,🫷🏾,🫷🏿
